Cluster,feature,term,df,sumsq,meansq,statistic,p.value,p.adjusted
C1,cluster_fraction_total_CD19+,timepoint,9,0.030912922532528263,0.003434769170280918,1.590069930489543,0.12315124037443213,0.1448838122052143
C1,cluster_fraction_total_CD19+,CodeID,20,3.7055714740106436,0.1852785737005322,85.77167029279934,1.324304327183033e-70,3.972912981549099e-69
C1,cluster_fraction_total_CD19+,Residuals,147,0.3175401649635909,0.002160137176623067,NA,NA,NA
C1,RBD+S1+_fraction,timepoint,9,1.6142649595058588e-7,1.7936277327842876e-8,1.5524848276902756,0.1349024747511671,0.3650302257972757
C1,RBD+S1+_fraction,CodeID,20,1.642395360282502e-7,8.21197680141251e-9,0.7107923877686111,0.8104814644631743,0.827800429983359
C1,RBD+S1+_fraction,Residuals,147,1.6983307792550726e-6,1.1553270607177365e-8,NA,NA,NA
C2,cluster_fraction_total_CD19+,timepoint,9,0.006240118879792375,6.933465421991527e-4,2.2257106276789687,0.023395656487973295,0.03264510207624181
C2,cluster_fraction_total_CD19+,CodeID,20,0.22437313686868077,0.011218656843434038,36.012992414322085,1.3202929100958478e-46,1.5843514921150173e-45
C2,cluster_fraction_total_CD19+,Residuals,147,0.045792988736169354,3.1151693017802284e-4,NA,NA,NA
C2,RBD+S1+_fraction,timepoint,9,8.787976385207407e-4,9.764418205786008e-5,9.555860509099045,2.1346048790748514e-11,2.454795610936079e-10
C2,RBD+S1+_fraction,CodeID,20,3.928558356144831e-4,1.9642791780724155e-5,1.922324242059311,0.014652409135091391,0.0718373154447154
C2,RBD+S1+_fraction,Residuals,147,0.0015020829101510965,1.0218251089463241e-5,NA,NA,NA
C3,cluster_fraction_total_CD19+,timepoint,9,2.0892325958464723e-4,2.3213695509405246e-5,2.9563602131422386,0.0029531517588388626,0.004543310398213635
C3,cluster_fraction_total_CD19+,CodeID,20,0.0026773385627407707,1.3386692813703853e-4,17.04850742267928,8.072851819704866e-29,3.2291407278819465e-28
C3,cluster_fraction_total_CD19+,Residuals,146,0.0011464095374125176,7.85212011926382e-6,NA,NA,NA
